X,Y,OBJECTID,Codigo_DANE_anterior,DANE_Letra,DANE_Actual,DIRECCION,ESTABLECIMIENTO_EDUCATIVO,SEDE,Zona,Identificador,POINT_X,POINT_Y,POINT_Z,BARRIO,COMUNA,VEREDA_COMUNIDAD,COD_DANE_DEPMUN,MUNICIPIO,PROVINCIA,NOMBRE_GEOGRAFICO,CATEGORIA,CORREGIMIENTO,VEREDA_IGAC,Estado_InfraestructuraE,PROV_ORIG,MUNI_ORIG,INST_ORIG,SEDE_ORIG
1127343.2211,1259564.1355,545,268705000193,168705000016D,16870500001604,VEREDA LA CHACARA,INSTITUTO_TECNICO_AGRICOLA_RAFA,ESCUELA_RURAL_LA_TAHONA,RURAL,1625,-72.9249888886239,6.94248611133845,0,,,BARRO_TAHONA,68705,SANTA_BARBARA,METROPOLITANA,BARRO TAHONA,Vereda,,PEÑA_BLANCA,Alerta,METROPOLITANA,SANTA_BÁRBARA,INSTITUTO TECNICO AGRICOLA RAFAEL ORTIZ GONZALEZ,ESCUELA RURAL LA TAHONA
1144721.385,1204387.55,546,268502000252,268502000279B,26850200027902,VEREDA VEGAS DE PADUA,INSTITUCION_EDUCATIVA_PADUA,INSTITUCION_EDUCATIVA_PADUA_SEDE_PRINCIPAL,RURAL,1626,-72.7681916674263,6.44351666667681,0,,,VEGAS,68502,ONZAGA,GUANENTA,VEGAS,Vereda,,VEGAS,Cumple,GUANENTÁ,ONZAGA,INSTITUCION EDUCATIVA PADUA,ESCUELA RURAL VEGAS DE PADUA
1140969.749,1253982.1095,547,268669000653,168669000438Q,16866900043817,VEREDA TIERRADENTRO,COLEGIO_FRAY_JOSE_DE_LAS_CASAS,ESCUELA_RURAL_TIERRADENTRO,RURAL,1712,-72.8017416670853,6.8919305561941,0,,,SANTO_DOMINGO,68669,SAN_ANDRES,GARCIA_ROVIRA,SANTO DOMINGO,Vereda,,SANTO_DOMINGO,Alerta,GARCÍA_ROVIRA,SAN_ANDRÉS,COLEGIO FRAY JOSE DE LAS CASAS NOVAS,ESCUELA RURAL TIERRADENTRO
1138014.1134,1248807.8613,548,268669000548,168669000616G,16866900061607,VEREDA SANTO DOMINGO,ESCUELA_NORMAL_SUPERIOR_MARIA_A_SAN_ANDRES,ESCUELA_RURAL_LA_CABRERA,RURAL,1716,-72.8285166674468,6.8451722219232,0,,,SANTO_DOMINGO,68669,SAN_ANDRES,GARCIA_ROVIRA,SANTO DOMINGO,Vereda,,SANTO_DOMINGO,Alerta,GARCÍA_ROVIRA,SAN_ANDRÉS,ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA,ESCUELA RURAL LA CABRERA
1141065.2699,1245765.9052,549,268669000262,168669000616L,16866900061612,VEREDA TANQUEVA,ESCUELA_NORMAL_SUPERIOR_MARIA_A_SAN_ANDRES,ESCUELA_RURAL_TANQUEVA,RURAL,1717,-72.8009388890511,6.8176472221054,0,,,TANQUEVA,68669,SAN_ANDRES,GARCIA_ROVIRA,TANQUEVA,Vereda,,TANQUEVA,Alerta,GARCÍA_ROVIRA,SAN_ANDRÉS,ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA,ESCUELA RURAL TANQUEVA
1135060.5532,1213139.3274,550,268682000174,268682000166F,26868200016606,VEREDA SAN JOSE,INSTITUCION_EDUCATIVA_SAN_MIGUEL_SAN_JOAQUIN,ESCUELA_RURAL_SAN_JOSE,RURAL,1757,-72.8554583333753,6.52271388910286,0,,,SAN_JOSÉ,68682,SAN_JOAQUIN,GUANENTA,SAN JOSÉ,Vereda,,SAN_JOSÉ,Deficit,GUANENTÁ,SAN_JOAQUÍN,INSTITUCION EDUCATIVA SAN MIGUEL,ESCUELA RURAL SAN JOSE
1145715.82,1222498.9027,551,268684000104,268684000058E,26868400005805,VEREDA CUCHARITO,INSTITUCION_EDUCATIVA_CABRERITA,ESCUELA_RURAL_CARBONERA,RURAL,1759,-72.7590611109388,6.60725277813755,0,,,CUCHARITO,68684,SAN_JOSE_DE_MIRANDA,GARCIA_ROVIRA,CUCHARITO,Vereda,,CUCHARITO,Cumple,GARCÍA_ROVIRA,SAN_JOSÉ_DE_MIRANDA,INSTITUCION EDUCATIVA CABRERITA,ESCUELA RURAL AGUA COLORADA
1146371.7318,1221136.9041,552,268684000198,268684000058C,26868400005803,VEREDA CUCHARITO,INSTITUCION_EDUCATIVA_CABRERITA,ESCUELA_RURAL_CARBONERA,RURAL,1760,-72.7531416671633,6.59493333262793,0,,,CUCHARITO,68684,SAN_JOSE_DE_MIRANDA,GARCIA_ROVIRA,CUCHARITO,Vereda,,CUCHARITO,Cumple,GARCÍA_ROVIRA,SAN_JOSÉ_DE_MIRANDA,INSTITUCION EDUCATIVA CABRERITA,ESCUELA RURAL CUCHARITO
1147590.3288,1220289.1355,553,268684000058,268684000058A,26868400005801,VEREDA MORALITO,INSTITUCION_EDUCATIVA_CABRERITA,ESCUELA_RURAL_CARBONERA,RURAL,1764,-72.7421309996991,6.58725800010578,0,,,MORALITO,68684,SAN_JOSE_DE_MIRANDA,GARCIA_ROVIRA,MORALITO,Vereda,,MORALITO,Alerta,GARCÍA_ROVIRA,SAN_JOSÉ_DE_MIRANDA,INSTITUCION EDUCATIVA CABRERITA,INSTITUCION EDUCATIVA CABRERITA
1155947.4551,1218943.4097,554,268686000080,168686000166K,16868600016611,VEREDA CENACUTA,COLEGIO_INTEGRADO_MONSENOR_EVAR,ESCUELA_RURAL_CENACUTA,RURAL,1773,-72.6665861112782,6.57501111111245,0,,,CENACUTA,68686,SAN_MIGUEL,GARCIA_ROVIRA,CENACUTA,Vereda,,CENACUTA,Cumple,GARCÍA_ROVIRA,SAN_MIGUEL,COLEGIO INTEGRADO MONSEÑOR EVARISTO BLANCO,ESCUELA RURAL CENACUTA
1158636.6554,1220159.8549,555,268686000110,168686000166I,16868600016609,VEREDA TABLON,COLEGIO_INTEGRADO_MONSENOR_EVAR,ESCUELA_RURAL_GARBANZAL,RURAL,1774,-72.6422611108958,6.58598055566447,0,,,TABLÓN,68686,SAN_MIGUEL,GARCIA_ROVIRA,TABLÓN,Vereda,,TABLÓN,Deficit,GARCÍA_ROVIRA,SAN_MIGUEL,COLEGIO INTEGRADO MONSEÑOR EVARISTO BLANCO,ESCUELA RURAL GARBANZAL
1157555.8761,1217541.7881,556,268686000047,168686000166N,16868600016614,VEREDA SAMACAL,COLEGIO_INTEGRADO_MONSENOR_EVAR,ESCUELA_RURAL_SAMACAL,RURAL,1775,-72.6520583330969,6.56232222243606,0,,,LLANO_GRANDE,68686,SAN_MIGUEL,GARCIA_ROVIRA,LLANO GRANDE,Vereda,,LLANO_GRANDE,Cumple,GARCÍA_ROVIRA,SAN_MIGUEL,COLEGIO INTEGRADO MONSEÑOR EVARISTO BLANCO,ESCUELA RURAL SAMACAL
1156568.2676,1223066.7061,557,268686000268,168686000166G,16868600016607,VEREDA PAMPLONITA,COLEGIO_INTEGRADO_MONSENOR_EVAR,ESCUELA_RURAL_VEGA_DEL_SALADO,RURAL,1776,-72.6609333330163,6.61228333306211,0,,,PAMPLONITA,68686,SAN_MIGUEL,GARCIA_ROVIRA,PAMPLONITA,Vereda,,PAMPLONITA,Deficit,GARCÍA_ROVIRA,SAN_MIGUEL,COLEGIO INTEGRADO MONSEÑOR EVARISTO BLANCO,ESCUELA RURAL VEGA DEL SALADO
1129970.1786,1255381.0957,558,268705000177,168705000016J,16870500001610,VEREDA LABRADAS,INSTITUTO_TECNICO_AGRICOLA_RAFA,ESCUELA_RURAL_LABRADAS,RURAL,1806,-72.9012444444325,6.90465277769193,0,,,APURE,68705,SANTA_BARBARA,METROPOLITANA,APURE,Vereda,,APURE,Deficit,METROPOLITANA,SANTA_BÁRBARA,INSTITUTO TECNICO AGRICOLA RAFAEL ORTIZ GONZALEZ,ESCUELA RURAL LABRADAS
1136198.1685,1279850.2596,559,268705000321,168705000016K,16870500001611,VEREDA VOLCANES,INSTITUTO_TECNICO_AGRICOLA_RAFA,ESCUELA_RURAL_LOS_VOLCANES,RURAL,1807,-72.8447333332871,7.12583888939494,0,,,VOLCANES,68705,SANTA_BARBARA,METROPOLITANA,VOLCANES,Vereda,,GUAYABALES,Cumple,METROPOLITANA,SANTA_BÁRBARA,INSTITUTO TECNICO AGRICOLA RAFAEL ORTIZ GONZALEZ,ESCUELA RURAL LOS VOLCANES
